name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
#特殊单位,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experimental Specimens,TDB_change,You Cheater,"Sealed (If you see this, it is a bug)",TDB_piao_yi,20,7000,800,5000,4000,200,130,3,68,60,40,15,20,5000,FRONT,,270,0.5,0.8,,,150,250,120,80,3,28,8,110000,4,12,480,0.25,20,20,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,3,,408
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#穿越者设计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curtain Rain,TDB_yu_lian,Destroyer,Arc Light Bureau,TDB_wu_qi,13,3000,300,8000,6667,500,80,,110,90,60,40,100,300,OMNI,,360,0.3,0.8,,,35,50,50,40,2,20,9,60000,5,20,300,0.25,12,12,,"TDB_bp, no_autofit",,0.7,2,3,TDB_xun_hang,309
Condensation,TDB_lang_chao,Missile Destroyer,Arc Light Bureau,fastmissileracks,10,3200,300,5000,,200,60,,60,60,40,30,35,500,OMNI,,270,0.4,0.8,,,60,160,120,100,2,30,9,40000,5,12,360,0.25,13,13,,"TDB_bp, no_autofit",,0.7,2,3,TDB_xun_hang,309
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain Rain,TDB_gu_yu,Heavy Cruiser,Arc Light Bureau,TDB_shui_yin_deng,18,8000,800,6000,14000,200,70,1,50,40,30,20,25,2000,FRONT,,360,0.6,0.8,,,150,450,400,200,2,100,8,140000,3,15,420,0.25,26,26,SHIP_WITH_MODULES,"TDB_bp, no_autofit",,0.6,2,3,TDB_xun_hang,403
Grain Rain Left Module,TDB_gu_yu_Z,Grain Rain Left Module,Arc Light Bureau,,16,4000,1200,2500,14000,200,65,,0,0,0,0,0,300,NONE,,0,0,0,,,150,450,400,200,2,100,8,140000,3,15,420,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX,",no_autofit,,0.6,2,3,TDB_xun_hang,403
Grain Rain Right Module,TDB_gu_yu_Y,Grain Rain Right Module,Arc Light Bureau,,16,4000,1200,2500,14000,200,65,,0,0,0,0,0,300,NONE,,0,0,0,,,150,450,400,200,2,100,8,140000,3,15,420,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX,",no_autofit,,0.6,2,3,TDB_xun_hang,403
Grain Rain Shield Module,TDB_gu_yu_C,Grain Rain Shield Module,Arc Light Bureau,,11,3000,1000,2500,14000,400,0,,400,400,400,400,400,300,OMNI,,360,0.3,1,,,0,0,0,0,0,20,9,60000,5,20,600,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX, UNDER_PARENT, INDEPENDENT_ROTATION",,,0.7,2,3,TDB_xun_hang,309
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulonimbus Left Module,TDB_ji_yu_yun_zuo,Cumulonimbus Left Module,Arc Light Bureau,targetingfeed,10,8000,1000,6000,6667,400,120,3,0,0,0,0,0,300,NONE,,0,0.3,0,,,35,50,50,40,2,20,9,60000,5,20,600,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX, CARRIER, UNDER_PARENT",,,0.7,2,3,TDB_xun_hang,309
Cumulonimbus Right Module,TDB_ji_yu_yun_you,Cumulonimbus Right Module,Arc Light Bureau,targetingfeed,10,8000,1000,6000,6667,400,120,3,0,0,0,0,0,300,NONE,,0,0.3,0,,,35,50,50,40,2,20,9,60000,5,20,600,0.25,0,0,"UNBOARDABLE, HIDE_IN_CODEX, CARRIER, UNDER_PARENT",,,0.7,2,3,TDB_xun_hang,309
